,NDBI,MNDWI,NDWI,NDVI,SAVI,population_count,LST
NDBI,1.0,0.013548588269570852,0.8396480015719902,-0.8975279154266336,-0.8975274877330293,0.28235385780749317,0.726185950146446
MNDWI,0.013548588269570852,1.0,0.5537971638721921,-0.443147680258974,-0.4431487135237394,0.14272087066052938,-0.1889554218239377
NDWI,0.8396480015719902,0.5537971638721921,1.0,-0.9876204761419105,-0.9876206164690317,0.31373273428764237,0.4989461926675705
NDVI,-0.8975279154266336,-0.443147680258974,-0.9876204761419105,1.0,0.9999999999919021,-0.33394231109614325,-0.575903260219332
SAVI,-0.8975274877330293,-0.4431487135237394,-0.9876206164690317,0.9999999999919021,1.0,-0.33394197342034515,-0.5759025200053046
population_count,0.28235385780749317,0.14272087066052938,0.31373273428764237,-0.33394231109614325,-0.33394197342034515,1.0,0.325717835008301
LST,0.726185950146446,-0.1889554218239377,0.4989461926675705,-0.575903260219332,-0.5759025200053046,0.325717835008301,1.0
