,NDBI,MNDWI,NDWI,NDVI,SAVI,population_count,LST
NDBI,1.0,-0.22562912847347633,0.5484526446595167,-0.6068444645480925,-0.606842425157744,0.12289946809038617,0.24314536164546088
MNDWI,-0.22562912847347633,1.0,0.6906330086344913,-0.6082275080204685,-0.6082292788164083,0.14416645091596378,-0.702146466080128
NDWI,0.5484526446595167,0.6906330086344913,1.0,-0.972313836226147,-0.9723138404891862,0.21460779036445174,-0.4234040842110158
NDVI,-0.6068444645480925,-0.6082275080204685,-0.972313836226147,1.0,0.9999999999876102,-0.214357441449335,0.4053667522997499
SAVI,-0.606842425157744,-0.6082292788164083,-0.9723138404891862,0.9999999999876102,1.0,-0.21435707099082177,0.40536809493710896
population_count,0.12289946809038617,0.14416645091596378,0.21460779036445174,-0.214357441449335,-0.21435707099082177,1.0,0.040962290059157164
LST,0.24314536164546088,-0.702146466080128,-0.4234040842110158,0.4053667522997499,0.40536809493710896,0.040962290059157164,1.0
