,NDBI,MNDWI,NDWI,NDVI,SAVI,population_count,LST
NDBI,1.0,-0.46038326002641533,0.6349397214414774,-0.6989335251722752,-0.6989336421922953,0.12992035736234825,0.17643882441930572
MNDWI,-0.46038326002641533,1.0,0.39313791670465026,-0.29999690281755836,-0.29999678068783286,0.09141637924157854,-0.39491857705427036
NDWI,0.6349397214414774,0.39313791670465026,1.0,-0.9841763144576443,-0.9841762911633507,0.21613048976962693,-0.15977431143022225
NDVI,-0.6989335251722752,-0.29999690281755836,-0.9841763144576443,1.0,0.9999999999933665,-0.22316360474283367,0.10691265025183534
SAVI,-0.6989336421922953,-0.29999678068783286,-0.9841762911633507,0.9999999999933665,1.0,-0.22316295259596594,0.10691378894304376
population_count,0.12992035736234825,0.09141637924157854,0.21613048976962693,-0.22316360474283367,-0.22316295259596594,1.0,0.1851225719828959
LST,0.17643882441930572,-0.39491857705427036,-0.15977431143022225,0.10691265025183534,0.10691378894304376,0.1851225719828959,1.0
